1825.00,61753.00
1826.00,61699.50
1827.00,61599.50
1828.00,61591.00
1829.00,61609.50
1830.00,61712.00
1831.00,61775.50
1832.00,61774.00
1833.00,61786.00
1834.00,61824.00
1835.00,61843.50
1836.00,61749.00
1837.00,61810.00
1838.00,61788.50
1839.00,61751.00
1840.00,61775.00
1841.00,61789.50
1842.00,61776.50
1843.00,61776.00
1844.00,61722.00
1845.00,61751.00
1846.00,61811.50
1847.00,61842.50
1848.00,61816.50
1849.00,61763.00
1850.00,61768.50
1851.00,61762.00
1852.00,61723.00
1853.00,61696.50
1854.00,61646.50
1855.00,61639.50
1856.00,61670.00
1857.00,61629.50
1858.00,61586.00
1859.00,61613.00
1860.00,61582.50
1861.00,61577.00
1862.00,61685.50
1863.00,61692.00
1864.00,61732.50
1865.00,61704.00
1866.00,61729.00
1867.00,61675.50
1868.00,61669.00
1869.00,61756.50
1870.00,61739.50
1871.00,61688.50
1872.00,61716.00
1873.00,61692.50
1874.00,61694.00
1875.00,61687.00
1876.00,61711.00
1877.00,61679.50
1878.00,61633.50
1879.00,61654.00
1880.00,61607.00
1881.00,61678.00
1882.00,61706.50
1883.00,61767.50
1884.00,61843.50
1885.00,61774.50
1886.00,61763.00
1887.00,61906.50
1888.00,61988.50
1889.00,61947.00
1890.00,61966.00
1891.00,61857.00
1892.00,61861.00
1893.00,61855.00
1894.00,61836.00
1895.00,61807.50
1896.00,61794.50
1897.00,61844.00
1898.00,61840.00
1899.00,61858.50
1900.00,61875.00
1901.00,61848.00
1902.00,61810.50
1903.00,61838.00
1904.00,61782.50
1905.00,61871.50
1906.00,61916.50
1907.00,61908.50
1908.00,61891.50
1909.00,61893.00
1910.00,61865.50
1911.00,61853.50
1912.00,61754.50
1913.00,61746.00
1914.00,61749.50
1915.00,61824.50
1916.00,61765.00
1917.00,61784.00
1918.00,61772.00
1919.00,61742.50
1920.00,61735.00
1921.00,61741.00
1922.00,61711.00
1923.00,61698.00
1924.00,61766.00
1925.00,61798.00
1926.00,61931.50
1927.00,62008.50
1928.00,61978.00
1929.00,61938.00
1930.00,61909.50
1931.00,61916.50
1932.00,61935.50
1933.00,61916.50
1934.00,62051.50
1935.00,62024.00
1936.00,61968.50
1937.00,61961.50
1938.00,61850.00
1939.00,61841.00
1940.00,61932.50
1941.00,61952.50
1942.00,61915.00
1943.00,61917.00
1944.00,61963.50
1945.00,62021.00
1946.00,62053.00
1947.00,62003.50
1948.00,61916.50
1949.00,61861.00
1950.00,61754.50
